Stations_id,lat,long,crop,avg.sowing.doy,values_sowing,avg. harvest.doy,values_harvest,earliest.sowing.doy,latest.sowing.doy,earliest.harvest.doy,latest.harvest.doy
8466,52.1,8.0833,SB,91,21,216,18,81,102,208,226
8467,52.3167,8.0333,SB,97,24,216,39,83,107,194,233
8468,52.2,8.0667,SB,100,17,223,21,93,110,212,233
8469,52.2333,8,SB,95,30,225,22,74,104,214,236
8471,52.0833,7.9333,SB,93,19,219,20,85,104,210,230
8473,52.25,8.1167,SB,91,25,220,35,78,103,200,235
8474,52.1167,8.05,SB,96,8,219,31,90,98,209,240
8475,52.2833,8.4167,SB,93,35,229,39,74,109,214,253
8477,52.3167,8.3667,SB,101,37,228,19,75,112,216,235
8478,52.3167,8.3333,SB,96,33,210,49,78,111,182,231
8482,53.35,7.1833,SB,104,32,242,22,83,115,231,253
8483,53.4667,7.4833,SB,96,25,240,2,83,108,239,241
8487,53.4667,7.4333,SB,106,7,238,26,103,110,225,251
8492,53.4,7.3333,SB,116,18,225,26,105,123,210,236
8495,53.4667,7.35,SB,103,0,215,0,103,103,215,215
8496,53.3833,7.5333,SB,101,12,239,2,97,109,238,240
8497,53.4667,7.5167,SB,86,29,226,15,72,101,220,235
8498,53.4167,7.7333,SB,108,16,227,18,99,115,220,238
8505,53.1667,7.45,SB,101,12,222,13,93,105,216,229
8506,53.2167,7.45,SB,99,25,243,6,83,108,239,245
8509,53.3,7.7167,SB,98,26,229,26,86,112,214,240
8517,53.4833,7.1833,SB,95,33,230,22,79,112,221,243
8520,53.6167,7.3,SB,109,45,236,0,90,135,236,236
8522,53.55,7.3,SB,103,35,236,36,88,123,216,252
8524,53.6,7.2167,SB,102,27,229,10,88,115,225,235
8527,53.5333,7.2833,SB,108,23,240,21,94,117,228,249
8529,53.6,7.15,SB,99,33,237,42,79,112,218,260
8530,53.35,7.1167,SB,96,33,241,42,77,110,228,270
8531,53.5333,7.7,SB,104,37,219,62,85,122,193,255
8534,53.6,7.6333,SB,109,16,222,4,104,120,220,224
8535,53.65,7.6167,SB,95,28,225,38,83,111,204,242
8539,53.7,7.7,SB,110,6,222,6,106,112,218,224
8542,53.6167,7.4667,SB,96,32,228,29,78,110,214,243
8545,53.5833,7.7667,SB,89,29,230,33,73,102,213,246
8546,52.3333,10.55,SB,95,0,214,6,95,95,211,217
8556,52.2833,10.7,SB,110,19,216,5,100,119,213,218
8557,52.2833,10.6167,SB,93,31,223,30,80,111,209,239
8558,52.9667,9.0167,SB,93,35,226,21,75,110,215,236
8561,51.9,9.85,SB,102,25,220,24,90,115,212,236
8562,51.9333,10.3667,SB,91,10,237,2,86,96,236,238
8569,51.8833,10.1667,SB,99,39,228,25,75,114,214,239
8570,51.7833,10.2167,SB,97,24,229,26,89,113,219,245
8573,51.9667,10.35,SB,88,27,214,32,71,98,198,230
8576,52.0167,10.4333,SB,79,0,236,16,79,79,228,244
8577,52.0167,10.4,SB,104,50,221,48,74,124,198,246
8579,51.95,10.5667,SB,90,33,213,38,72,105,194,232
8583,52.3167,11.0167,SB,102,24,236,10,90,114,231,241
8584,52.3667,10.9333,SB,92,26,227,0,79,105,227,227
8585,52.2333,11.0167,SB,75,32,219,6,60,92,216,222
8592,52.25,10.85,SB,85,23,225,22,72,95,214,236
8593,52.5,10.8833,SB,94,35,222,5,76,111,220,225
8594,52.2833,10.75,SB,89,41,213,30,65,106,197,227
8595,52.15,10.95,SB,96,43,217,35,75,118,200,235
8598,52.4333,10.85,SB,90,36,222,20,72,108,213,233
8599,52.1833,10.9333,SB,89,0,226,15,89,89,219,234
8600,52.1,10.85,SB,87,28,255,0,73,101,255,255
8605,51.8833,10.55,SB,108,21,223,30,95,116,204,234
8606,52.1833,10.7167,SB,96,34,221,22,79,113,210,232
8608,52.1667,10.5167,SB,88,36,212,47,73,109,194,241
8609,52.1333,10.7,SB,104,0,236,9,104,104,231,240
8611,52.1167,10.7167,SB,98,0,230,0,98,98,230,230
8615,53.05,8.6333,SB,90,0,215,0,90,90,215,215
8616,53.15,8.2,SB,86,24,220,38,75,99,203,241
8617,53.25,7.7667,SB,90,0,232,0,90,90,232,232
8618,53.1333,7.9833,SB,114,11,208,39,109,120,186,225
8621,53.25,8.2,SB,118,3,240,5,116,119,237,242
8623,53.2452,7.9053,SB,116,28,245,25,98,126,228,253
8626,53.25,8.1,SB,100,35,222,31,80,115,208,239
8629,53.1667,7.95,SB,107,8,227,23,102,110,217,240
8631,53.2,7.9833,SB,95,27,222,26,81,108,211,237
8635,53,7.95,SB,98,4,219,2,96,100,218,220
8636,52.8167,8.1167,SB,90,19,225,4,81,100,224,228
8639,52.7167,7.9333,SB,89,12,226,0,82,94,226,226
8640,53.0333,7.8667,SB,88,17,208,17,80,97,199,216
8641,52.9667,8.0167,SB,72,13,206,17,66,79,198,215
8644,52.7333,7.7667,SB,89,32,225,41,68,100,201,242
8647,53.0167,7.7667,SB,95,23,227,26,85,108,212,238
8652,53.6833,7.9333,SB,96,38,230,34,77,115,210,244
8653,53.5833,7.9,SB,87,44,230,9,69,113,226,235
8664,53.3833,8.05,SB,95,22,229,38,83,105,206,244
8665,53.3833,8.1,SB,104,23,218,41,96,119,198,239
8666,53.4167,7.9833,SB,95,37,221,23,74,111,209,232
8668,53.05,8.5333,SB,90,22,218,27,75,97,206,233
8670,53.1,8.5333,SB,97,34,220,11,80,114,213,224
8671,52.9833,8.2833,SB,90,13,225,0,81,94,225,225
8672,52.95,8.2167,SB,96,11,219,35,90,101,208,243
8673,53.05,8.2667,SB,85,24,222,14,72,96,215,229
8674,53.1167,8.45,SB,83,0,227,0,83,83,227,227
8675,53.0667,8.1667,SB,96,24,223,19,82,106,215,234
8676,52.9,8.4333,SB,95,29,209,14,76,105,202,216
8678,52.75,8.2,SB,97,25,227,20,84,109,217,237
8680,52.65,8.1167,SB,97,23,222,32,85,108,208,240
8683,52.6667,8.2333,SB,87,13,218,14,80,93,212,226
8685,52.7333,8.2833,SB,97,32,221,29,76,108,205,234
8706,53.0667,8.7667,SB,96,9,215,20,90,99,206,226
8710,53.1333,8.9167,SB,112,0,208,7,112,112,205,212
8723,51.3833,6.6,SB,81,28,206,21,67,95,196,217
8724,51.2,6.45,SB,81,26,223,36,68,94,209,245
8728,51.15,6.45,SB,102,0,205,40,102,102,185,225
8733,51.25,6.4,SB,78,29,218,31,63,92,201,232
8739,51.35,7.1167,SB,100,43,228,24,80,123,216,240
8752,51.15,6.6667,SB,86,7,201,0,82,89,201,201
8754,51.1,6.5,SB,93,35,205,14,78,113,196,210
8764,51.25,6.4833,SB,96,56,226,25,66,122,212,237
8765,51.3833,6.45,SB,82,25,222,30,71,96,205,235
8771,51.8,6.15,SB,86,11,230,1,81,92,229,230
8772,51.7,6.1667,SB,72,40,209,0,52,92,209,209
8775,51.75,6.3833,SB,93,29,220,20,74,103,210,230
8776,51.7833,6.0167,SB,84,29,200,24,72,101,192,216
8779,51.6667,6.2667,SB,79,42,228,0,52,94,228,228
8780,51.7833,6.45,SB,74,0,206,0,74,74,206,206
8782,51.6833,6.55,SB,97,13,225,20,92,105,215,235
8784,51.7333,6.5,SB,96,11,218,15,90,101,211,226
8790,51.0667,6.9333,SB,92,7,243,0,88,95,243,243
8804,51.5333,6.7,SB,88,31,220,30,71,102,206,236
8806,51.35,6.95,SB,99,38,225,42,80,118,201,243
8807,51.5167,6.3167,SB,92,33,214,44,74,107,200,244
8809,51.4833,6.4167,SB,84,25,218,31,73,98,201,232
8810,51.5167,6.4,SB,84,34,216,31,68,102,199,230
8811,51.4,6.3333,SB,89,8,211,0,85,93,211,211
8812,51.4,6.3,SB,90,16,220,14,79,95,213,227
8813,51.6333,6.1833,SB,92,33,212,34,72,105,195,229
8815,51.5833,6.25,SB,82,26,223,22,70,96,211,233
8816,51.5,6.5167,SB,102,3,214,42,101,104,188,230
8817,51.45,6.6333,SB,87,26,215,25,76,102,202,227
8818,51.55,6.6,SB,95,35,220,15,73,108,214,229
8819,51.6667,6.45,SB,94,35,235,0,76,111,235,235
8820,51.45,6.5833,SB,86,25,222,20,73,98,213,233
8822,51.5833,6.5333,SB,90,34,224,37,71,105,203,240
8823,51.6167,6.5333,SB,94,39,227,27,70,109,213,240
8824,51.65,6.6167,SB,89,32,224,37,73,105,208,245
8830,50.9167,6.9167,SB,69,20,208,33,61,81,191,224
8831,50.9833,6.9333,SB,82,15,211,0,77,92,211,211
8833,50.85,6.7667,SB,118,19,224,23,109,128,212,235
8842,50.6667,7.15,SB,95,36,233,33,79,115,217,250
8843,50.7,7.1667,SB,84,9,221,4,79,88,219,223
8849,50.6667,6.8,SB,93,41,220,26,74,115,203,229
8851,50.6833,6.6667,SB,82,43,219,39,59,102,199,238
8852,50.6167,6.65,SB,89,44,220,21,69,113,208,229
8854,50.6833,6.8167,SB,91,46,225,30,72,118,208,238
8869,50.8167,6.95,SB,88,33,215,20,73,106,205,225
8871,51.0333,7.5667,SB,100,35,238,21,81,116,224,245
8872,51.0333,7.6167,SB,104,32,229,29,88,120,217,246
8875,50.8667,7.6167,SB,91,31,234,14,75,106,228,242
8885,50.9167,7.5667,SB,68,0,204,0,68,68,204,204
8893,50.8833,7.0667,SB,96,27,200,35,78,105,187,222
8895,51.1167,7.4833,SB,97,32,230,26,83,115,219,245
8901,50.9333,7.3167,SB,93,38,227,28,77,115,212,240
8906,51.0667,7.3167,SB,104,28,239,41,90,118,217,258
8909,50.8,7.2,SB,96,21,226,22,84,105,213,235
8912,50.7667,7.45,SB,92,16,223,6,81,97,220,226
8914,50.7632,7.2631,SB,96,11,218,30,90,101,201,231
8915,50.7333,7.3,SB,98,26,212,0,85,111,212,212
8919,50.7167,7.3667,SB,85,0,235,0,85,85,235,235
8922,50.6667,7.3,SB,93,50,227,25,72,122,215,240
8923,50.6833,7.2667,SB,70,5,259,0,68,73,259,259
8925,50.7667,7.1667,SB,86,20,214,9,76,96,210,219
8932,50.8167,6.2667,SB,106,12,221,22,98,110,210,232
8934,50.7833,6.2,SB,103,8,210,49,100,108,187,236
8940,50.8,6.4167,SB,85,12,204,18,80,92,193,211
8941,50.7333,6.4833,SB,84,18,218,18,74,92,208,226
8946,50.7333,6.3833,SB,97,28,234,21,80,108,222,243
8947,50.7667,6.6333,SB,75,0,213,0,75,75,213,213
8951,51.0167,6.2833,SB,101,0,246,0,101,101,246,246
8958,50.8833,6.45,SB,90,9,218,17,85,94,209,226
8963,50.6,6.3167,SB,98,26,245,11,84,110,240,251
8971,50.4333,6.65,SB,94,45,229,22,69,114,218,240
8978,50.4167,6.4333,SB,110,27,220,0,96,123,220,220
8981,50.55,6.5833,SB,84,27,225,18,69,96,215,233
8983,50.3833,6.55,SB,104,46,228,21,73,119,217,238
8985,50.4833,6.6333,SB,97,39,236,28,75,114,217,245
8989,51.0667,6.1,SB,105,0,204,12,105,105,198,210
8990,50.9167,6.1167,SB,86,21,204,29,75,96,195,224
8994,51.0167,6.05,SB,93,26,218,38,82,108,195,233
8998,51.9667,7.6333,SB,100,1,220,3,100,101,218,221
9001,51.9968,6.9732,SB,95,19,216,9,82,101,211,220
9004,52.0333,7.1,SB,93,29,226,23,78,107,216,239
9005,52.1167,7.1167,SB,89,26,226,19,76,102,215,234
9012,51.7,7.8333,SB,99,43,220,54,82,125,186,240
9015,51.8042,8.2049,SB,87,37,220,31,68,105,208,239
9016,51.8167,7.95,SB,94,21,219,27,83,104,205,232
9018,51.7667,6.6167,SB,84,27,222,7,71,98,219,226
9020,51.8833,6.6667,SB,93,43,221,19,71,114,214,233
9023,51.9,6.7833,SB,92,27,216,46,76,103,186,232
9024,51.85,6.7,SB,92,21,223,23,81,102,213,236
9027,51.95,7.1833,SB,93,27,220,22,77,104,208,230
9028,51.9667,7.3,SB,102,50,225,16,82,132,218,234
9030,51.8333,7.3,SB,94,4,229,22,92,96,216,238
9031,51.85,7.2167,SB,96,0,218,0,96,96,218,218
9034,51.9833,7.15,SB,90,24,220,19,75,99,208,227
9035,51.7,7.75,SB,92,34,215,18,75,109,205,223
9042,51.7333,7.6667,SB,102,19,222,24,88,107,209,233
9050,51.9333,7.5333,SB,115,0,232,0,115,115,232,232
9052,51.9167,7.8167,SB,114,2,233,0,113,115,233,233
9054,52.1333,7.3833,SB,99,25,221,22,83,108,210,232
9055,52.15,7.3333,SB,94,22,224,23,82,104,210,233
9057,52.15,7.6,SB,82,17,208,3,75,92,206,209
9059,52.2333,7.3833,SB,88,11,220,17,82,93,210,227
9060,52.0833,7.4833,SB,90,24,215,37,78,102,195,232
9061,52.2,7.3167,SB,93,18,219,18,82,100,210,228
9065,52.1833,7.8667,SB,89,21,218,15,78,99,209,224
9067,52.1667,7.8833,SB,76,0,207,0,76,76,207,207
9071,52.3167,7.8,SB,91,41,223,9,70,111,219,228
9074,52.2667,7.7833,SB,92,15,214,9,85,100,209,218
9075,52.2833,7.7333,SB,96,16,225,13,87,103,219,232
9076,52.3333,7.5167,SB,93,46,223,12,76,122,218,230
9080,51.95,7.9833,SB,84,23,213,16,75,98,205,221
9083,51.8667,7.9167,SB,89,35,220,17,72,107,214,231
9084,51.9667,8.2333,SB,91,31,221,23,75,106,211,234
9087,51.5833,7.0667,SB,91,26,224,27,76,102,210,237
9088,51.6167,7.2,SB,91,35,223,20,69,104,216,236
9090,51.6,7.15,SB,97,0,212,0,97,97,212,212
9091,51.6,7.1,SB,94,11,213,12,89,100,207,219
9092,51.6,6.9167,SB,83,31,224,19,70,101,214,233
9096,51.7167,7.1,SB,86,27,214,21,73,100,204,225
9097,51.6667,6.95,SB,93,22,221,17,82,104,216,233
9100,51.6333,7.3833,SB,87,6,221,5,85,91,219,224
9109,52.0833,8.5167,SB,94,32,233,32,77,109,216,248
9111,51.6153,8.8972,SB,94,37,231,27,78,115,220,247
9112,51.6833,8.6,SB,87,23,209,25,79,102,198,223
9117,51.9462,8.8856,SB,91,12,211,45,86,98,193,238
9120,51.9167,8.75,SB,89,29,222,26,73,102,212,238
9131,52.05,8.3667,SB,95,41,204,38,72,113,186,224
9132,52.05,8.3,SB,93,39,255,0,72,111,255,255
9133,52,8.4167,SB,93,29,223,16,79,108,214,230
9134,52.0667,8.2,SB,96,36,215,36,78,114,193,229
9136,52.05,8.4333,SB,106,18,227,13,96,114,222,235
9144,51.7315,9.023,SB,102,22,230,24,89,111,214,238
9148,51.75,9.0667,SB,102,0,208,0,102,102,208,208
9155,51.8333,9.0667,SB,85,0,224,21,85,85,214,235
9156,51.85,9.2833,SB,90,30,224,19,76,106,217,236
9163,52.0333,9,SB,97,35,221,22,76,111,209,231
9166,52.1,8.9167,SB,96,36,233,27,75,111,219,246
9169,52.4167,8.6167,SB,89,45,221,31,69,114,209,240
9174,52.25,8.6667,SB,90,21,217,14,77,98,210,224
9177,52.3,8.5,SB,104,25,238,0,86,111,238,238
